Matrix_id	Gene_id	Species	Method	Datasource	Datasource_ID
MP00524	AT5G23280	Arabidopsis thaliana	DAP	PMID:27203113	AT5G23280
MP00525	AT5G24110	Arabidopsis thaliana	DAP	PMID:27203113	AT5G24110
MP00526	AT5G25190	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25190
MP00527	AT5G25390	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25390
MP00528	AT5G25475	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25475
MP00529	AT5G25810	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25810
MP00530	AT5G25830	Arabidopsis thaliana	DAP	PMID:27203113	AT5G25830
MP00531	AT5G26170	Arabidopsis thaliana	DAP	PMID:27203113	AT5G26170
MP00532	AT5G29000	Arabidopsis thaliana	DAP	PMID:27203113	AT5G29000
MP00533	AT5G38800	Arabidopsis thaliana	DAP	PMID:27203113	AT5G38800
MP00534	AT5G38860	Arabidopsis thaliana	DAP	PMID:27203113	AT5G38860
MP00535	AT5G39610	Arabidopsis thaliana	DAP	PMID:27203113	AT5G39610
MP00536	AT5G39760	Arabidopsis thaliana	DAP	PMID:27203113	AT5G39760
MP00537	AT5G39820	Arabidopsis thaliana	DAP	PMID:27203113	AT5G39820
MP00538	AT5G40330	Arabidopsis thaliana	DAP	PMID:27203113	AT5G40330
MP00539	AT5G41570	Arabidopsis thaliana	DAP	PMID:27203113	AT5G41570
MP00540	AT5G42520	Arabidopsis thaliana	DAP	PMID:27203113	AT5G42520
MP00541	AT5G43840	Arabidopsis thaliana	DAP	PMID:27203113	AT5G43840
MP00542	AT5G44210	Arabidopsis thaliana	DAP	PMID:27203113	AT5G44210
MP00543	AT5G45300	Arabidopsis thaliana	DAP	PMID:27203113	AT5G45300
MP00544	AT5G45580	Arabidopsis thaliana	DAP	PMID:27203113	AT5G45580
MP00545	AT5G46350	Arabidopsis thaliana	DAP	PMID:27203113	AT5G46350
MP00546	AT5G46590	Arabidopsis thaliana	DAP	PMID:27203113	AT5G46590
MP00547	AT5G46830	Arabidopsis thaliana	DAP	PMID:27203113	AT5G46830
MP00548	AT5G47220	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47220
MP00549	AT5G47230	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47230
MP00550	AT5G47370	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47370
MP00551	AT5G47390	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47390
MP00552	AT5G47660	Arabidopsis thaliana	DAP	PMID:27203113	AT5G47660
MP00553	AT5G48670	Arabidopsis thaliana	DAP	PMID:27203113	AT5G48670
MP00554	AT5G49300	Arabidopsis thaliana	DAP	PMID:27203113	AT5G49300
MP00555	AT5G50570	Arabidopsis thaliana	DAP	PMID:27203113	AT5G50570
MP00556	AT5G51190	Arabidopsis thaliana	DAP	PMID:27203113	AT5G51190
MP00557	AT5G51990	Arabidopsis thaliana	DAP	PMID:27203113	AT5G51990
MP00558	AT5G52020	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52020
MP00559	AT5G52170	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52170
MP00560	AT5G52660	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52660
MP00561	AT5G52830	Arabidopsis thaliana	DAP	PMID:27203113	AT5G52830
MP00562	AT5G53950	Arabidopsis thaliana	DAP	PMID:27203113	AT5G53950
MP00563	AT5G54230	Arabidopsis thaliana	DAP	PMID:27203113	AT5G54230
MP00564	AT5G56110	Arabidopsis thaliana	DAP	PMID:27203113	AT5G56110
MP00565	AT5G56840	Arabidopsis thaliana	DAP	PMID:27203113	AT5G56840
MP00566	AT5G58620	Arabidopsis thaliana	DAP	PMID:27203113	AT5G58620
MP00567	AT5G58850	Arabidopsis thaliana	DAP	PMID:27203113	AT5G58850
MP00568	AT5G58900	Arabidopsis thaliana	DAP	PMID:27203113	AT5G58900
MP00569	AT5G60130	Arabidopsis thaliana	DAP	PMID:27203113	AT5G60130
MP00570	AT5G60850	Arabidopsis thaliana	DAP	PMID:27203113	AT5G60850
MP00571	AT5G61270	Arabidopsis thaliana	DAP	PMID:27203113	AT5G61270
MP00572	AT5G61600	Arabidopsis thaliana	DAP	PMID:27203113	AT5G61600
MP00573	AT5G61620	Arabidopsis thaliana	DAP	PMID:27203113	AT5G61620
MP00574	AT5G62000	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62000
MP00575	AT5G62020	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62020
MP00576	AT5G62165	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62165
MP00577	AT5G62320	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62320
MP00578	AT5G62380	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62380
MP00579	AT5G62470	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62470
MP00580	AT5G62940	Arabidopsis thaliana	DAP	PMID:27203113	AT5G62940
MP00581	AT5G63090	Arabidopsis thaliana	DAP	PMID:27203113	AT5G63090
MP00582	AT5G63260	Arabidopsis thaliana	DAP	PMID:27203113	AT5G63260
MP00583	AT5G64060	Arabidopsis thaliana	DAP	PMID:27203113	AT5G64060
MP00584	AT5G64750	Arabidopsis thaliana	DAP	PMID:27203113	AT5G64750
MP00585	AT5G65130	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65130
MP00586	AT5G65210	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65210
MP00587	AT5G65310	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65310
MP00588	AT5G65410	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65410
MP00589	AT5G65510	Arabidopsis thaliana	DAP	PMID:27203113	AT5G65510
MP00590	AT5G66300	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66300
MP00591	AT5G66700	Arabidopsis thaliana	DAP	PMID:27203113	AT5G66700
